,,,,22 juin 2026,,,,,,,
Aliments disponibles,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Entrepôt,Nom complet,Nom commun,,%M.S.,%Hum,$/tm MS,$/tm TQS,moyenne,,
,,,,,,,,,,,
1,Bunker,Ensilage de foin,Ens.,,34.0%,66%,300 $,102 $,,,
2,Bunker,Ensilage de maïs 2024,Ens. Maïs #7,,31.0%,69%,275 $,85 $,31.5,,
3,Bunker,Ensilage de foin (2e 2024),EF2,,31.0%,69%,275 $,85 $,,,
4,Bunker,EF2,Ens. Foin #2,,36.0%,64%,275 $,99 $,32,,
5,Bunker,DDG Varennes,Drèche sèche,,89.0%,11%,358 $,319 $,,,
6,Poches,Gras protégé,Gras PALMIT,,99.9%,0%,"2,838 $","2,835 $",,,
7,Poches,Gras protégé,Gras Nurisol,,99.9%,0%,"2,921 $","2,918 $",,,
8,Shed,Foin enrobé Seigle,---,,35%,65%,714 $,250 $,,,
9,Shed,Paille de blé (balles) longue,Paille silo bleu #7,,86%,14%,256 $,220 $,,,
10,Shed,Paille de blé (hachée),Paille commodité,,85%,15%,259 $,220 $,,,
11,Shed,Foin sec Vincent Coulombe,Foin sec commodité,,86%,14%,310 $,267 $,,,
12,Shed,Silo vert #8,Ens. Silo #8,,38%,62%,300 $,114 $,,,
13,Enr.,,Foin sec ,,88%,12%,300 $,264 $,,,
14,Tank,Lait condensé DPL,Crème DLP,,26%,74%,151 $,39.29 $,,,
15,Mini silo,Silo Maïs sec,Silo #6 -Maïs sec,,86%,14%,320 $,275 $,,,
16,Silo #4,"Supplément Fraîche (Vrac Gr1, CBE meal gr1,CBE BLD)",Silo #4 Fraîche,,93%,7%,"1,176 $","1,094 $",,,
17,Silo #1,"Supplément Prémix (Vrac gr2-3, CBEMeal gr2)",Silo #1 -Prémix,,93%,7%,"1,256 $","1,172 $",,,
18,Silo #3,Amino plus,Silo #3 -Amino+,,89%,11%,753 $,670 $,,,
19,commodité,Tourteau de soya,Tourteau canola,,87%,13%,426 $,371 $,,,
20,Silo #2,Minéral Low group (Meal gr4-MOS-1774),Silo #2 -Low group,,93%,7%,"1,044 $",971 $,,,
21,Silo #5,Supplément de transition (#505),Silo #5 -Taries,,93%,7%,"1,718 $","1,602 $",,,
22,Poches,Minéral (Taures),Minéral Taures,,98%,2%,"1,385 $","1,360 $",,,
23,Poches,Minéral (Vaches taries),Min.Tarie 17:3/2:6,,98%,2%,"1,430 $","1,401 $",,,
24,commodité,Écaille de soya,Écaille de soya,,90%,10%,311 $,280 $,,,
25,à terre,Son de maïs,Criblure maïs,,89%,12%,254 $,225 $,,,
26,Poches,X-Zélit Vache pré-velage,X-Zélit,,93%,7%,"5,280 $","4,900 $",,,
27,Silo #4,Moulée Rumimax 22%,Silo #8 -moulée veaux,,89%,11%,963 $,857 $,,,
28,,,Lait en poudre 27-16,,98%,2%,"5,077 $","4,975 $",,,
29,,Ensilage de transition,(vide),,27%,73%,,,,,
30,,,,,0%,100%,,,,,
31,,,,,0%,100%,,,,,
32,,,,,0%,100%,,,,,
33,,,,,0%,100%,,,,,
34,Eau,Eau,Eau,,0%,100%,0 $,0 $,,,
,,,,,,,,,,,
